time,glucose
1679755860,77.0
1679756160,77.0
1679756460,85.0
1679756760,94.0
1679757060,102.0
1679757360,116.0
1679757660,136.0
1679757960,146.0
1679758260,146.0
1679758560,138.0
1679758860,128.0
1679759160,118.0
1679759460,106.0
1679759760,88.0
1679760060,74.0
1679760360,62.0
1679760660,58.0
1679760960,59.0
1679761260,65.0
1679761560,79.0
1679761860,94.0
1679762160,109.0
1679762460,117.0
1679762760,117.0
1679763060,120.0
1679763360,113.0
1679763660,106.0
1679763960,100.0
1679764260,99.0
1679764560,102.0
1679764860,101.0
1679765160,104.0
1679765460,109.0
1679765760,116.0
1679766060,119.0
1679766360,120.0
1679766660,114.0
1679766960,109.0
1679767260,97.0
1679767560,95.0
1679767860,93.0
1679768160,93.0
1679768460,97.0
1679768760,101.0
1679769060,109.0
1679769360,109.0
1679769660,110.0
1679769960,111.0
1679770260,109.0
1679770560,106.0
1679770860,106.0
1679771160,103.0
1679771460,100.0
1679771760,101.0
1679772060,108.0
1679772360,110.0
1679772660,113.0
1679772960,113.0
1679773260,109.0
1679773560,110.0
1679773860,111.0
1679774160,109.0
1679774460,108.0
1679774760,105.0
1679775060,102.0
1679775360,96.0
1679775660,90.0
1679775960,87.0
1679776260,86.0
1679776560,88.0
1679776860,89.0
1679777160,91.0
1679777460,91.0
1679777760,92.0
1679778060,93.0
1679778360,92.0
1679778660,92.0
1679778960,93.0
1679779260,96.0
1679779560,99.0
1679779860,100.0
1679780160,103.0
1679780460,107.0
1679780760,106.0
1679781060,106.0
1679781360,106.0
1679781660,104.0
1679781960,102.0
1679782260,100.0
1679782560,98.0
1679782860,97.0
1679783160,99.0
1679783460,102.0
1679783760,103.0
1679784060,104.0
1679784360,105.0
1679784660,107.0
1679784960,105.0
1679785260,105.0
1679785560,104.0
1679785860,104.0
1679786160,104.0
1679786460,103.0
1679786760,105.0
1679787060,106.0
1679787360,106.0
1679787660,105.0
1679787960,106.0
1679788260,103.0
1679788560,97.0
1679788860,97.0
1679789160,101.0
1679789460,102.0
1679789760,105.0
1679790060,108.0
1679790360,109.0
1679790660,105.0
1679790960,95.0
1679791260,83.0
1679791560,78.0
1679791860,70.0
1679792160,56.0
1679796060,53.0
1679796360,52.0
1679796660,52.0
1679796960,51.0
1679797260,52.0
1679797560,54.0
1679797860,57.0
1679798160,58.0
1679798460,94.0
1679798760,107.0
1679799060,107.0
1679799360,104.0
1679799660,92.0
1679799960,97.0
1679800260,83.0
1679800560,85.0
1679800860,86.0
1679801160,89.0
1679801460,92.0
1679801760,92.0
1679802060,95.0
1679802360,91.0
1679802660,91.0
1679802960,97.0
1679803260,92.0
1679803560,89.0
1679803860,88.0
1679804160,93.0
1679804460,94.0
1679804760,88.0
1679805060,90.0
1679805360,90.0
1679805660,86.0
1679805960,85.0
1679806260,83.0
1679806560,78.0
1679806860,80.0
1679807160,88.0
1679807460,91.0
1679807760,90.0
1679808060,89.0
1679808360,88.0
1679808660,87.0
1679808960,91.0
1679809260,87.0
1679809560,84.0
1679809860,92.0
1679810160,90.0
1679810460,88.0
1679810760,89.0
1679811060,76.0
1679811360,73.0
1679811660,79.0
1679811960,75.0
1679812260,68.0
1679812560,69.0
1679812860,68.0
1679813160,64.0
1679813460,72.0
1679813760,79.0
1679814060,83.0
1679814360,83.0
1679814660,83.0
1679814960,91.0
1679815260,89.0
1679815560,93.0
1679815860,90.0
1679816160,76.0
1679816460,91.0
1679816760,95.0
1679817060,95.0
1679817360,95.0
1679817660,96.0
1679817960,99.0
1679818260,97.0
1679818560,94.0
1679818860,92.0
1679819160,95.0
1679819460,97.0
1679819760,97.0
1679820060,100.0
1679820360,100.0
1679820660,100.0
1679820960,95.0
1679821260,89.0
1679821560,86.0
1679821860,87.0
1679822160,87.0
1679822460,88.0
1679822760,90.0
1679823060,92.0
1679823360,95.0
1679823660,94.0
1679823960,95.0
1679824260,94.0
1679824560,94.0
1679824860,94.0
1679825160,92.0
1679825460,93.0
1679825760,94.0
1679826060,98.0
1679826360,99.0
1679826660,101.0
1679826960,110.0
1679827260,108.0
1679827560,110.0
1679827860,107.0
1679828160,102.0
1679828460,98.0
1679828760,94.0
1679829060,92.0
1679829360,88.0
1679829660,91.0
1679829960,97.0
1679830260,97.0
1679830560,97.0
1679830860,98.0
1679831160,100.0
1679831460,100.0
1679831760,101.0
1679832060,106.0
1679832360,114.0
1679832660,117.0
1679832960,118.0
1679833260,115.0
1679833560,111.0
1679833860,102.0
1679834160,91.0
1679834460,85.0
1679834760,85.0
1679835060,82.0
1679835360,82.0
1679835660,85.0
1679835960,91.0
1679836260,98.0
1679836560,106.0
1679836860,111.0
1679837160,106.0
1679837460,98.0
1679837760,100.0
1679838060,106.0
1679838360,105.0
1679838660,101.0
1679838960,97.0
1679839260,99.0
1679839560,108.0
1679839860,108.0
1679840160,103.0
1679840460,99.0
1679840760,98.0
1679841060,100.0
1679841360,99.0
1679841660,98.0
1679841960,101.0
1679842260,95.0
1679842560,95.0
1679842860,96.0
1679843160,98.0
1679843460,100.0
